season,League_name,team_long_name_x,W,D,L,GF,GA,Pts,GD,rank,coordinates_x,coordinates_y,team_figure_url
2013/2014,Italy Serie A,Inter,15,15,8,62,39,60,23,5,9.124,45.47808,
2013/2014,Italy Serie A,Juventus,33,3,2,80,23,102,57,1,-88.57027778,18.08305556,
2013/2014,Italy Serie A,Lazio,15,11,12,54,54,56,0,9,12.454714,41.933872,
2013/2014,Italy Serie A,Livorno,6,7,25,39,77,25,-38,20,10.314167,43.526667,
2013/2014,Italy Serie A,Milan,16,9,13,57,49,57,8,8,14.30720933,41.08379544,
2013/2014,Italy Serie A,Napoli,23,9,6,77,39,78,38,3,14.26338465,40.88798394,
2013/2014,Italy Serie A,Parma,15,13,10,58,46,58,12,6,10.33844444,44.79491667,
2013/2014,Italy Serie A,Roma,26,7,5,72,25,85,47,2,12.454714,41.933872,
2013/2014,Italy Serie A,Sampdoria,12,9,17,48,62,45,-14,12,8.952428,44.416431,
2013/2014,Italy Serie A,Sassuolo,9,7,22,43,72,34,-29,17,10.649722,44.714722,
2013/2014,Italy Serie A,Torino,15,12,11,58,48,57,10,7,7.65,45.041667,
2013/2014,Italy Serie A,Udinese,12,8,18,46,57,44,-11,14,13.200136,46.081603,
2013/2014,Netherlands Eredivisie,ADO Den Haag,12,7,15,45,64,43,-19,9,4.383056,52.062778,
2013/2014,Netherlands Eredivisie,AZ,13,8,13,54,50,47,4,8,4.741630263,52.61271589,
2013/2014,Netherlands Eredivisie,Ajax,20,11,3,69,28,71,41,1,4.940442856,52.31420074,
2013/2014,Netherlands Eredivisie,FC Groningen,14,9,11,57,53,51,4,7,6.591388888,53.20611111,
2013/2014,Netherlands Eredivisie,FC Twente,17,12,5,72,37,63,35,3,6.8375,52.23666667,
2013/2014,Netherlands Eredivisie,FC Utrecht,11,8,15,46,65,41,-19,10,5.145833333,52.07833333,
2013/2014,Netherlands Eredivisie,Feyenoord,20,7,7,76,40,67,36,2,4.523252777,51.89389444,
2013/2014,Netherlands Eredivisie,Go Ahead Eagles,10,8,16,45,69,38,-24,13,6.1725,52.260278,
2013/2014,Netherlands Eredivisie,Heracles Almelo,10,7,17,45,59,37,-14,14,6.649722,52.338611,
2013/2014,Netherlands Eredivisie,N.E.C.,5,15,14,54,82,30,-28,17,5.836667,51.8225,
2013/2014,Netherlands Eredivisie,NAC Breda,8,11,15,43,54,35,-11,15,4.75028,51.5956,
2013/2014,Netherlands Eredivisie,PEC Zwolle,9,13,12,47,49,40,-2,11,6.121911,52.517292,
2013/2014,Netherlands Eredivisie,PSV,18,5,11,60,45,59,15,4,5.4674,51.4417,
2013/2014,Netherlands Eredivisie,RKC Waalwijk,7,11,16,44,64,32,-20,16,5.088611,51.686944,
2013/2014,Netherlands Eredivisie,Roda JC Kerkrade,7,8,19,44,69,29,-25,18,6.005833333,50.85694444,
2013/2014,Netherlands Eredivisie,SC Cambuur,10,9,15,40,50,39,-10,12,5.814722,53.205278,
2013/2014,Netherlands Eredivisie,SC Heerenveen,16,9,9,72,51,57,21,5,5.936111,52.958611,
2013/2014,Netherlands Eredivisie,Vitesse,15,10,9,65,49,55,16,6,5.893056,51.9625,
2013/2014,Poland Ekstraklasa,Cracovia,11,6,13,37,43,39,-6,10,19.919722,50.058056,
2013/2014,Poland Ekstraklasa,Jagiellonia Białystok,10,9,11,46,43,39,3,9,23.148889,53.105556,
2013/2014,Poland Ekstraklasa,Korona Kielce,9,10,11,36,41,37,-5,11,20.624722,50.861389,
2013/2014,Poland Ekstraklasa,Lech Poznań,15,8,7,56,34,53,22,2,16.858056,52.397222,
2013/2014,Poland Ekstraklasa,Lechia Gdańsk,10,10,10,38,37,40,1,8,18.640278,54.39,
2013/2014,Poland Ekstraklasa,Legia Warszawa,20,3,7,60,30,63,30,1,21.04099453,52.22149029,
2013/2014,Poland Ekstraklasa,Piast Gliwice,8,10,12,29,47,34,-18,13,18.695866,50.306583,
2013/2014,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,6,13,11,27,39,31,-12,14,19.054267,49.817419,
2013/2014,Poland Ekstraklasa,Pogoń Szczecin,11,14,5,47,38,47,9,4,14.51688356,53.43722011,
2013/2014,Poland Ekstraklasa,Polonia Bytom,11,9,10,42,46,42,-4,7,18.89871667,50.35755833,
2013/2014,Poland Ekstraklasa,Ruch Chorzów,14,8,8,40,38,50,2,3,18.944178,50.282203,
2013/2014,Poland Ekstraklasa,Widzew Łódź,5,7,18,26,51,22,-25,16,19.511667,51.765,
2013/2014,Poland Ekstraklasa,Wisła Kraków,12,9,9,38,30,45,8,5,19.911944,50.063611,
2013/2014,Poland Ekstraklasa,Zagłębie Lubin,7,8,15,31,40,29,-9,15,16.1975,51.413333,
2013/2014,Poland Ekstraklasa,Zawisza Bydgoszcz,11,9,10,43,37,42,6,6,18.020556,53.145556,
2013/2014,Poland Ekstraklasa,Śląsk Wrocław,7,13,10,38,40,34,-2,12,16.944094,51.141797,
2013/2014,Portugal Liga ZON Sagres,Académica de Coimbra,9,10,11,25,35,37,-10,9,-8.407777777,40.20333333,
2013/2014,Portugal Liga ZON Sagres,CD Nacional,11,12,7,43,33,45,10,5,-16.883525,32.670625,
2013/2014,Portugal Liga ZON Sagres,CF Os Belenenses,6,10,14,19,33,28,-14,14,-9.207778,38.702778,
2013/2014,Portugal Liga ZON Sagres,CS Marítimo,11,8,11,40,44,41,-4,6,-16.928331,32.645561,
2013/2014,Portugal Liga ZON Sagres,Estoril Praia,15,9,6,42,26,54,16,4,-9.406,38.716,
2013/2014,Portugal Liga ZON Sagres,FC Arouca,8,7,15,28,42,31,-14,12,-8.24861111,40.92833333,
2013/2014,Portugal Liga ZON Sagres,FC Paços de Ferreira,6,6,18,28,59,24,-31,16,-8.385581,41.271353,
2013/2014,Portugal Liga ZON Sagres,FC Porto,19,4,7,57,25,61,32,3,-8.544874,41.066863,
2013/2014,Portugal Liga ZON Sagres,Gil Vicente FC,8,7,15,23,37,31,-14,13,-8.611111111,41.53388889,
2013/2014,Portugal Liga ZON Sagres,Rio Ave FC,8,8,14,21,35,32,-14,11,-8.740186,41.362756,
2013/2014,Portugal Liga ZON Sagres,S.C. Olhanense,6,6,18,21,49,24,-28,15,-7.848483,37.029128,
2013/2014,Portugal Liga ZON Sagres,SC Braga,10,7,13,39,37,37,2,8,-8.4308,41.5624,
2013/2014,Portugal Liga ZON Sagres,SL Benfica,23,5,2,58,18,74,40,1,-9.184680555,38.75267778,
2013/2014,Portugal Liga ZON Sagres,Sporting CP,20,7,3,54,20,67,34,2,-9.160783333,38.76119444,
2013/2014,Portugal Liga ZON Sagres,Vitória Guimarães,10,5,15,30,35,35,-5,10,-8.300066156,41.44587634,
2013/2014,Portugal Liga ZON Sagres,Vitória Setúbal,10,9,11,41,41,39,0,7,-8.88978488,38.53144068,
2013/2014,Scotland Premier League,Aberdeen,20,8,10,53,38,68,15,3,-2.088888888,57.15916667,
2013/2014,Scotland Premier League,Celtic,31,6,1,102,25,99,77,1,-23.512222,14.916111,
2013/2014,Scotland Premier League,Dundee United,16,10,12,65,50,58,15,4,-2.968961,56.474703,
2013/2014,Scotland Premier League,Heart of Midlothian,10,8,20,45,65,38,-20,11,-3.232222,55.939167,
2013/2014,Scotland Premier League,Hibernian,8,11,19,31,51,35,-20,12,-3.165555555,55.96166667,
2013/2014,Scotland Premier League,Inverness Caledonian Thistle,16,9,13,44,44,57,0,5,-4.2175,57.494722,
2013/2014,Scotland Premier League,Kilmarnock,11,6,21,45,66,39,-21,9,-4.508122,55.604225,
2013/2014,Scotland Premier League,Motherwell,22,4,12,64,60,70,4,2,-3.980078,55.779947,
2013/2014,Scotland Premier League,Partick Thistle F.C.,8,14,16,46,65,38,-19,10,-4.269639,55.881556,
2013/2014,Scotland Premier League,Ross County FC,11,7,20,44,62,40,-18,7,-4.41891,57.5959,
2013/2014,Scotland Premier League,St. Johnstone FC,15,8,15,48,42,53,6,6,-3.476928,56.409686,
2013/2014,Scotland Premier League,St. Mirren,10,9,19,39,58,39,-19,8,-4.443889,55.850556,
2013/2014,Spain LIGA BBVA,Athletic Club de Bilbao,20,10,8,66,39,70,27,4,-2.949369,43.264205,
2013/2014,Spain LIGA BBVA,Atlético Madrid,28,6,4,77,26,90,51,1,-3.599444,40.436111,
2013/2014,Spain LIGA BBVA,CA Osasuna,10,9,19,32,62,39,-30,18,-9.192602072,38.76679118,
2013/2014,Spain LIGA BBVA,Elche CF,9,13,16,30,50,40,-20,16,-0.663333,38.266944,
2013/2014,Spain LIGA BBVA,FC Barcelona,27,6,5,100,33,87,67,2,2.12005,41.380081,
2013/2014,Spain LIGA BBVA,Getafe CF,11,9,18,35,54,42,-19,14,-3.714722,40.325556,
2013/2014,Spain LIGA BBVA,Granada CF,12,5,21,32,56,41,-24,15,-3.595736,37.152967,
2013/2014,Spain LIGA BBVA,Levante UD,12,12,14,35,43,48,-8,10,-0.364167,39.494722,
2013/2014,Spain LIGA BBVA,Málaga CF,12,9,17,39,46,45,-7,11,-4.427226608,36.73438436,
2013/2014,Spain LIGA BBVA,RC Celta de Vigo,14,7,17,49,54,49,-5,9,-8.673340348,42.24705444,
2013/2014,Spain LIGA BBVA,RCD Espanyol,11,9,18,41,51,42,-10,13,2.075667,41.347861,
2013/2014,Spain LIGA BBVA,Rayo Vallecano,13,4,21,46,80,43,-34,12,-3.658961,40.391944,
2013/2014,Spain LIGA BBVA,Real Betis Balompié,6,7,25,36,78,25,-42,20,-5.981611,37.356403,
2013/2014,Spain LIGA BBVA,Real Madrid CF,27,6,5,104,38,87,66,3,-3.68835,40.45306,
2013/2014,Spain LIGA BBVA,Real Sociedad,16,11,11,62,55,59,7,7,-1.973617,43.301378,
2013/2014,Spain LIGA BBVA,Real Valladolid,7,15,16,38,60,36,-22,19,-4.761111,41.644444,
2013/2014,Spain LIGA BBVA,Sevilla FC,18,9,11,69,52,63,17,5,-5.970467,37.383878,
2013/2014,Spain LIGA BBVA,UD Almería,11,7,20,43,71,40,-28,17,-2.44529,36.862,
2013/2014,Spain LIGA BBVA,Valencia CF,13,10,15,51,53,49,-2,8,-0.358333,39.474722,
2013/2014,Spain LIGA BBVA,Villarreal CF,17,8,13,60,44,59,16,6,-0.11501,39.94046,
2013/2014,Switzerland Super League,BSC Young Boys,17,8,11,59,50,59,9,3,7.465,46.962778,
2013/2014,Switzerland Super League,FC Aarau,12,6,18,55,71,42,-16,9,8.06,47.383333,
2013/2014,Switzerland Super League,FC Basel,19,15,2,70,34,72,36,1,7.62,47.541389,
2013/2014,Switzerland Super League,FC Lausanne-Sports,7,3,26,38,71,24,-33,10,6.625,46.534,
2013/2014,Switzerland Super League,FC Luzern,15,6,15,48,54,51,-6,4,8.305187,47.033264,
2013/2014,Switzerland Super League,FC Sion,12,7,17,38,45,43,-7,8,7.376389,46.233333,
2013/2014,Switzerland Super League,FC St. Gallen,11,12,13,37,47,45,-10,7,9.306389,47.408333,
2013/2014,Switzerland Super League,FC Thun,13,9,14,57,53,48,4,6,7.606075,46.744817,
2013/2014,Switzerland Super League,FC Zürich,14,8,14,51,52,50,-1,5,8.503801,47.382791,
2013/2014,Switzerland Super League,Grasshopper Club Zürich,19,8,9,67,43,65,24,2,8.503801,47.382791,
2014/2015,Belgium Jupiler League,Club Brugge KV,17,10,3,69,28,61,41,1,3.181311,51.193269,
2014/2015,Belgium Jupiler League,KAA Gent,16,9,5,52,29,57,23,2,3.766111,51.031389,
2014/2015,Belgium Jupiler League,KRC Genk,13,10,7,38,28,49,10,7,5.533333,51.005,
2014/2015,Belgium Jupiler League,KSV Cercle Brugge,6,6,18,21,45,24,-24,15,3.179748427,51.1930059,
2014/2015,Belgium Jupiler League,KV Kortrijk,16,3,11,54,35,51,19,5,3.248889,50.830278,
2014/2015,Belgium Jupiler League,KV Mechelen,10,11,9,37,39,41,-2,9,4.486389,51.037222,
2014/2015,Belgium Jupiler League,KV Oostende,11,5,14,40,52,38,-12,10,2.884603927,51.21714229,
2014/2015,Belgium Jupiler League,KVC Westerlo,8,9,13,42,63,33,-21,11,4.928333,51.094722,
2014/2015,Belgium Jupiler League,Lierse SK,5,7,18,30,63,22,-33,16,4.573611,51.144167,
2014/2015,Belgium Jupiler League,RSC Anderlecht,16,9,5,51,30,57,21,3,4.298333,50.834167,
2014/2015,Belgium Jupiler League,Royal Excel Mouscron,7,5,18,32,51,26,-19,13,3.211082,50.733953,
2014/2015,Belgium Jupiler League,SV Zulte-Waregem,8,7,15,41,54,31,-13,12,3.428889,50.883056,
2014/2015,Belgium Jupiler League,Sporting Charleroi,14,7,9,44,31,49,13,6,4.452710141,50.41485542,
2014/2015,Belgium Jupiler League,Sporting Lokeren,10,12,8,38,32,42,6,8,3.985900182,51.11556272,
2014/2015,Belgium Jupiler League,Standard de Liège,16,5,9,49,39,53,10,4,5.544487505,50.60999871,
2014/2015,Belgium Jupiler League,Waasland-Beveren,7,5,18,30,49,26,-19,14,4.243931,51.214139,
2014/2015,England Premier League,Arsenal,22,9,7,71,36,75,35,3,27.501339,-29.310975,
2014/2015,England Premier League,Aston Villa,10,8,20,31,57,38,-26,17,-1.884722222,52.50916667,
2014/2015,England Premier League,Burnley,7,12,19,28,53,33,-25,19,-2.230225,53.789064,
2014/2015,England Premier League,Chelsea,26,9,3,73,32,87,41,1,-0.191111111,51.48166667,
2014/2015,England Premier League,Crystal Palace,13,9,16,47,51,48,-4,10,-0.0705,51.4203,
2014/2015,England Premier League,Everton,12,11,15,48,50,47,-2,11,-2.966388888,53.43888889,
2014/2015,England Premier League,Hull City,8,11,19,33,51,35,-18,18,-0.367777777,53.74611111,
2014/2015,England Premier League,Leicester City,11,8,19,46,55,41,-9,14,-1.142222222,52.62027778,
2014/2015,England Premier League,Liverpool,18,8,12,52,48,62,4,6,-2.960833333,53.43083333,
2014/2015,England Premier League,Manchester City,24,7,7,83,38,79,45,2,-2.200277777,53.48305556,
2014/2015,England Premier League,Manchester United,20,10,8,62,37,70,25,4,-2.291388888,53.46305556,
2014/2015,England Premier League,Newcastle United,10,9,19,40,63,39,-23,15,-1.621666666,54.97555556,
2014/2015,England Premier League,Queens Park Rangers,8,6,24,42,73,30,-31,20,-0.232222222,51.50916667,
2014/2015,England Premier League,Southampton,18,6,14,54,33,60,21,7,-1.39111111,50.90583333,
2014/2015,England Premier League,Stoke City,15,9,14,48,45,54,3,9,-2.175555555,52.98833333,
2014/2015,England Premier League,Sunderland,7,17,14,31,53,38,-22,16,-1.3882,54.9144,
2014/2015,England Premier League,Swansea City,16,8,14,46,49,56,-3,8,-3.9351,51.6422,
2014/2015,England Premier League,Tottenham Hotspur,19,7,12,58,53,64,5,5,-0.066388888,51.60444444,
2014/2015,England Premier League,West Bromwich Albion,11,11,16,38,51,44,-13,13,-1.963888888,52.50916667,
2014/2015,England Premier League,West Ham United,12,11,15,44,47,47,-3,12,-0.016388888,51.53861111,
2014/2015,France Ligue 1,AS Monaco,20,11,7,51,26,71,25,3,7.415556,43.727778,
2014/2015,France Ligue 1,AS Saint-Étienne,19,12,7,51,30,69,21,5,4.39,45.460833,
2014/2015,France Ligue 1,En Avant de Guingamp,15,4,19,41,55,49,-14,10,-3.164597222,48.56628611,
2014/2015,France Ligue 1,FC Lorient,12,7,19,44,50,43,-6,16,-3.369733,47.748256,
2014/2015,France Ligue 1,FC Metz,7,9,22,31,61,30,-30,19,6.159511,49.109813,
2014/2015,France Ligue 1,FC Nantes,11,12,15,29,40,45,-11,14,-1.525278,47.255556,
2014/2015,France Ligue 1,Girondins de Bordeaux,17,12,9,47,44,63,3,6,-0.563333,44.896944,
2014/2015,France Ligue 1,LOSC Lille,16,8,14,43,42,56,1,8,3.067614316,50.63678193,
2014/2015,France Ligue 1,Montpellier Hérault SC,16,8,14,46,39,56,7,7,3.930685964,43.61275576,
2014/2015,France Ligue 1,OGC Nice,13,9,16,44,53,48,-9,11,7.192583333,43.70513889,
2014/2015,France Ligue 1,Olympique Lyonnais,22,9,7,72,33,75,39,2,4.982131,45.765224,
2014/2015,France Ligue 1,Olympique de Marseille,21,6,11,76,42,69,34,4,5.395833333,43.26972222,
2014/2015,France Ligue 1,Paris Saint-Germain,24,11,3,83,36,83,47,1,2.253055555,48.84138889,
2014/2015,France Ligue 1,RC Lens,7,8,23,32,61,29,-29,20,2.814722,50.432778,
2014/2015,France Ligue 1,SC Bastia,12,11,15,37,46,47,-9,12,9.442619,42.6514,
2014/2015,France Ligue 1,SM Caen,12,10,16,54,55,46,-1,13,-0.395893731,49.17966417,
2014/2015,France Ligue 1,Stade Rennais FC,13,11,14,35,42,50,-7,9,-1.712861111,48.10747222,
2014/2015,France Ligue 1,Stade de Reims,12,8,18,47,66,44,-19,15,4.025,49.246667,
2014/2015,France Ligue 1,Toulouse FC,12,6,20,43,64,42,-21,17,1.434055,43.583296,
2014/2015,France Ligue 1,Évian Thonon Gaillard FC,11,4,23,41,62,37,-21,18,6.467691868,46.36570671,
2014/2015,Germany 1. Bundesliga,1. FC Köln,9,13,12,34,40,40,-6,12,6.875,50.933611,
2014/2015,Germany 1. Bundesliga,1. FSV Mainz 05,9,13,12,45,47,40,-2,11,8.322268157,49.96242212,
2014/2015,Germany 1. Bundesliga,Bayer 04 Leverkusen,17,10,7,62,37,61,25,4,7.002205555,51.03825556,
2014/2015,Germany 1. Bundesliga,Borussia Dortmund,13,7,14,47,42,46,5,7,7.451667,51.4925,
2014/2015,Germany 1. Bundesliga,Borussia Mönchengladbach,19,9,6,53,26,66,27,3,6.385463888,51.17458333,
2014/2015,Germany 1. Bundesliga,Eintracht Frankfurt,11,10,13,56,62,43,-6,9,8.645278,50.068611,
2014/2015,Germany 1. Bundesliga,FC Augsburg,15,4,15,43,43,49,0,5,10.8859261,48.3233205,
2014/2015,Germany 1. Bundesliga,FC Bayern Munich,25,4,5,80,18,79,62,1,11.574444,48.110833,
2014/2015,Germany 1. Bundesliga,FC Schalke 04,13,9,12,42,40,48,2,6,7.067588888,51.55450278,
2014/2015,Germany 1. Bundesliga,Hamburger SV,9,8,17,25,50,35,-25,16,9.898611,53.586944,
2014/2015,Germany 1. Bundesliga,Hannover 96,9,10,15,40,56,37,-16,13,9.731111,52.36,
2014/2015,Germany 1. Bundesliga,Hertha BSC Berlin,9,8,17,36,52,35,-16,15,13.23944444,52.51472222,
2014/2015,Germany 1. Bundesliga,SC Freiburg,7,13,14,36,47,34,-11,17,7.893056,47.988889,
2014/2015,Germany 1. Bundesliga,SC Paderborn 07,7,10,17,31,65,31,-34,18,8.710833,51.731389,
2014/2015,Germany 1. Bundesliga,SV Werder Bremen,11,10,13,50,65,43,-15,10,8.8375,53.066389,
2014/2015,Germany 1. Bundesliga,TSG 1899 Hoffenheim,12,8,14,49,55,44,-6,8,8.84212,49.2783,
2014/2015,Germany 1. Bundesliga,VfB Stuttgart,9,9,16,42,60,36,-18,14,9.231944,48.792222,
2014/2015,Germany 1. Bundesliga,VfL Wolfsburg,20,9,5,72,38,69,34,2,10.807511,52.434577,
2014/2015,Italy Serie A,Atalanta,7,16,15,38,57,37,-19,17,9.680833,45.708889,
2014/2015,Italy Serie A,Cagliari,8,10,20,48,68,34,-20,18,9.137583333,39.19988889,
2014/2015,Italy Serie A,Cesena,4,12,22,36,73,24,-37,20,12.261944,44.140556,
2014/2015,Italy Serie A,Chievo Verona,10,13,15,28,41,43,-13,14,10.968647,45.435356,
2014/2015,Italy Serie A,Empoli,8,18,12,46,52,42,-6,15,10.955,43.726389,
2014/2015,Italy Serie A,Fiorentina,18,10,10,61,46,64,15,4,11.282258,43.780822,
2014/2015,Italy Serie A,Genoa,16,11,11,62,47,59,15,6,8.952428,44.416431,
2014/2015,Italy Serie A,Hellas Verona,11,13,14,49,65,46,-16,13,10.968647,45.435356,
2014/2015,Italy Serie A,Inter,14,13,11,59,48,55,11,8,9.124,45.47808,
2014/2015,Italy Serie A,Juventus,26,9,3,72,24,87,48,1,-88.57027778,18.08305556,
2014/2015,Italy Serie A,Lazio,20,6,11,67,36,66,31,3,12.454714,41.933872,
2014/2015,Italy Serie A,Milan,13,13,12,56,50,52,6,10,14.30720933,41.08379544,
2014/2015,Italy Serie A,Napoli,18,9,10,68,50,63,18,5,14.26338465,40.88798394,
2014/2015,Italy Serie A,Palermo,12,13,13,53,55,49,-2,11,13.342275,38.152767,
2014/2015,Italy Serie A,Parma,6,8,24,33,75,26,-42,19,10.33844444,44.79491667,
2014/2015,Italy Serie A,Roma,19,13,6,54,31,70,23,2,12.454714,41.933872,
2014/2015,Italy Serie A,Sampdoria,13,17,8,48,42,56,6,7,8.952428,44.416431,
2014/2015,Italy Serie A,Sassuolo,12,13,13,49,57,49,-8,12,10.649722,44.714722,
2014/2015,Italy Serie A,Torino,14,12,12,48,45,54,3,9,7.65,45.041667,
2014/2015,Italy Serie A,Udinese,10,11,17,43,56,41,-13,16,13.200136,46.081603,
2014/2015,Netherlands Eredivisie,ADO Den Haag,9,10,15,44,53,37,-9,13,4.383056,52.062778,
2014/2015,Netherlands Eredivisie,AZ,19,5,10,63,56,62,7,3,4.741630263,52.61271589,
2014/2015,Netherlands Eredivisie,Ajax,21,8,5,69,29,71,40,2,4.940442856,52.31420074,
2014/2015,Netherlands Eredivisie,Excelsior,6,14,14,47,63,32,-16,15,4.520556,51.916944,
2014/2015,Netherlands Eredivisie,FC Dordrecht,4,8,22,24,76,20,-52,18,4.69,51.8025,
2014/2015,Netherlands Eredivisie,FC Groningen,11,13,10,49,53,46,-4,9,6.591388888,53.20611111,
2014/2015,Netherlands Eredivisie,FC Twente,13,10,11,56,51,49,5,8,6.8375,52.23666667,
2014/2015,Netherlands Eredivisie,FC Utrecht,11,8,15,60,62,41,-2,11,5.145833333,52.07833333,
2014/2015,Netherlands Eredivisie,Feyenoord,17,8,9,56,39,59,17,4,4.523252777,51.89389444,
2014/2015,Netherlands Eredivisie,Go Ahead Eagles,7,6,21,29,59,27,-30,17,6.1725,52.260278,
2014/2015,Netherlands Eredivisie,Heracles Almelo,11,4,19,47,64,37,-17,14,6.649722,52.338611,
2014/2015,Netherlands Eredivisie,NAC Breda,6,10,18,36,68,28,-32,16,4.75028,51.5956,
2014/2015,Netherlands Eredivisie,PEC Zwolle,16,5,13,59,43,53,16,6,6.121911,52.517292,
2014/2015,Netherlands Eredivisie,PSV,29,1,4,92,31,88,61,1,5.4674,51.4417,
2014/2015,Netherlands Eredivisie,SC Cambuur,11,8,15,46,56,41,-10,12,5.814722,53.205278,
2014/2015,Netherlands Eredivisie,SC Heerenveen,13,11,10,53,46,50,7,7,5.936111,52.958611,
2014/2015,Netherlands Eredivisie,Vitesse,16,10,8,66,43,58,23,5,5.893056,51.9625,
2014/2015,Netherlands Eredivisie,Willem II,13,7,14,46,50,46,-4,10,5.066944,51.542778,
2014/2015,Poland Ekstraklasa,Cracovia,10,7,13,35,41,37,-6,12,19.919722,50.058056,
2014/2015,Poland Ekstraklasa,GKS Bełchatów,8,7,15,24,42,31,-18,15,19.381692,51.365839,
2014/2015,Poland Ekstraklasa,Górnik Łęczna,8,10,12,31,37,34,-6,13,22.5575,51.2319,
2014/2015,Poland Ekstraklasa,Jagiellonia Białystok,14,7,9,43,35,49,8,3,23.148889,53.105556,
2014/2015,Poland Ekstraklasa,Korona Kielce,10,9,11,34,42,39,-8,10,20.624722,50.861389,
2014/2015,Poland Ekstraklasa,Lech Poznań,14,12,4,52,27,54,25,2,16.858056,52.397222,
2014/2015,Poland Ekstraklasa,Lechia Gdańsk,11,8,11,36,37,41,-1,8,18.640278,54.39,
2014/2015,Poland Ekstraklasa,Legia Warszawa,17,5,8,57,30,56,27,1,21.04099453,52.22149029,
2014/2015,Poland Ekstraklasa,Piast Gliwice,11,6,13,38,43,39,-5,9,18.695866,50.306583,
2014/2015,Poland Ekstraklasa,Podbeskidzie Bielsko-Biała,10,9,11,40,48,39,-8,11,19.054267,49.817419,
2014/2015,Poland Ekstraklasa,Pogoń Szczecin,11,8,11,40,38,41,2,7,14.51688356,53.43722011,
2014/2015,Poland Ekstraklasa,Polonia Bytom,11,10,9,43,43,43,0,6,18.89871667,50.35755833,
2014/2015,Poland Ekstraklasa,Ruch Chorzów,8,9,13,33,38,33,-5,14,18.944178,50.282203,
2014/2015,Poland Ekstraklasa,Wisła Kraków,11,10,9,47,39,43,8,5,19.911944,50.063611,
2014/2015,Poland Ekstraklasa,Zawisza Bydgoszcz,8,5,17,32,52,29,-20,16,18.020556,53.145556,
2014/2015,Poland Ekstraklasa,Śląsk Wrocław,12,10,8,43,36,46,7,4,16.944094,51.141797,
2014/2015,Portugal Liga ZON Sagres,Académica de Coimbra,4,17,13,26,46,29,-20,14,-8.407777777,40.20333333,
2014/2015,Portugal Liga ZON Sagres,Boavista FC,9,7,18,27,50,34,-23,13,-8.642777777,41.16222222,
2014/2015,Portugal Liga ZON Sagres,CD Nacional,13,8,13,45,46,47,-1,7,-16.883525,32.670625,
2014/2015,Portugal Liga ZON Sagres,CF Os Belenenses,12,12,10,34,35,48,-1,6,-9.207778,38.702778,
2014/2015,Portugal Liga ZON Sagres,CS Marítimo,12,8,14,46,45,44,1,9,-16.928331,32.645561,
2014/2015,Portugal Liga ZON Sagres,Estoril Praia,9,13,12,38,56,40,-18,12,-9.406,38.716,
2014/2015,Portugal Liga ZON Sagres,FC Arouca,7,7,20,26,50,28,-24,16,-8.24861111,40.92833333,
2014/2015,Portugal Liga ZON Sagres,FC Paços de Ferreira,12,11,11,40,45,47,-5,8,-8.385581,41.271353,
2014/2015,Portugal Liga ZON Sagres,FC Penafiel,5,7,22,29,69,22,-40,18,-8.277919,41.2117,
2014/2015,Portugal Liga ZON Sagres,FC Porto,25,7,2,74,13,82,61,2,-8.544874,41.066863,
2014/2015,Portugal Liga ZON Sagres,Gil Vicente FC,4,11,19,25,60,23,-35,17,-8.611111111,41.53388889,
2014/2015,Portugal Liga ZON Sagres,Moreirense FC,11,10,13,33,42,43,-9,11,-8.354761,41.378089,
2014/2015,Portugal Liga ZON Sagres,Rio Ave FC,10,13,11,38,42,43,-4,10,-8.740186,41.362756,
2014/2015,Portugal Liga ZON Sagres,SC Braga,17,7,10,55,28,58,27,4,-8.4308,41.5624,
2014/2015,Portugal Liga ZON Sagres,SL Benfica,27,4,3,86,16,85,70,1,-9.184680555,38.75267778,
2014/2015,Portugal Liga ZON Sagres,Sporting CP,22,10,2,67,29,76,38,3,-9.160783333,38.76119444,
2014/2015,Portugal Liga ZON Sagres,Vitória Guimarães,15,10,9,50,35,55,15,5,-8.300066156,41.44587634,
2014/2015,Portugal Liga ZON Sagres,Vitória Setúbal,7,8,19,24,56,29,-32,15,-8.88978488,38.53144068,
2014/2015,Scotland Premier League,Aberdeen,23,6,9,57,33,75,24,2,-2.088888888,57.15916667,
2014/2015,Scotland Premier League,Celtic,29,5,4,84,17,92,67,1,-23.512222,14.916111,
2014/2015,Scotland Premier League,Dundee FC,11,12,15,46,57,45,-11,8,-2.973194,56.475264,
2014/2015,Scotland Premier League,Dundee United,17,5,16,58,56,56,2,5,-2.968961,56.474703,
2014/2015,Scotland Premier League,Hamilton Academical FC,15,8,15,50,53,53,-3,6,-4.0585,55.7822,
2014/2015,Scotland Premier League,Inverness Caledonian Thistle,19,8,11,52,42,65,10,3,-4.2175,57.494722,
2014/2015,Scotland Premier League,Kilmarnock,11,8,19,44,59,41,-15,10,-4.508122,55.604225,
2014/2015,Scotland Premier League,Motherwell,10,6,22,38,63,36,-25,11,-3.980078,55.779947,
2014/2015,Scotland Premier League,Partick Thistle F.C.,12,10,16,48,44,46,4,7,-4.269639,55.881556,
2014/2015,Scotland Premier League,Ross County FC,12,8,18,46,63,44,-17,9,-4.41891,57.5959,
